USAF,WBAN,STATION NAME,CTRY,STATE,ICAO,LAT,LON,ELEV(M),BEGIN,END
702716,99999,TAHNETA PASS,US,AK,5GN,61.817,-147.55,900,19730102,19960104
702717,99999,SELAWIK,US,AK,PALK,66.6,-159.986,7.6,19730101,20160930
702719,99999,SNOWSHOE LAKE,US,AK,,62.033,-142.667,735,19750917,19761207
702720,26401,ELMENDORF AFB AIRPORT,US,AK,PAED,61.253,-149.794,64.6,20060101,20201030
702720,99999,ANCHORAGE/ELMENDORF,US,AK,PAED,61.25,-149.8,59,19410310,20051231
702725,26491,LAKE HOOD SEAPLANE BASE,US,AK,PALH,61.178,-149.966,27.4,20020101,20201030
702725,99999,ANCHORAGE LAKE HOOD,US,AK,PALH,61.183,-149.967,22,19730104,20011231
702730,26451,TED STEVENS ANCHORAGE INTL,US,AK,PANC,61.169,-150.028,36.6,19730101,20201030
702735,26409,MERRILL FIELD AIRPORT,US,AK,PAMR,61.217,-149.855,42.1,19450101,20201030
702735,99999,MERRILL FLD,US,AK,PAMR,61.2,-149.833,42,20000101,20031231
702736,99999,FT RICHARDSON/BRYN&,US,AK,,61.267,-149.65,115,19760625,19830721
702740,25331,PALMER MUNICIPAL AIRPORT,US,AK,PAAQ,61.596,-149.092,70.1,19990101,20201030
702740,99999,PALMER,US,AK,PAAQ,61.595,-149.089,74,19730101,19981231
702745,26560,WILLOW AIRPORT,US,AK,PAUO,61.748,-150.054,62.5,20060101,20111101
702745,99999,WILLOW AIRPORT,US,AK,PAUO,61.754,-150.052,67,19910207,20051231
702746,26497,BIRCHWOOD AIRPORT,US,AK,PABV,61.416,-149.507,29.3,20060101,20201030
702746,99999,BIRCHWOOD,US,AK,PABV,61.417,-149.5,29,19940103,20051231
702750,26442,NATIONAL WEATHER SERVICE OFFICE,US,AK,PAVW,61.13,-146.352,29,19730101,20140401
702754,99999,VALDEZ,US,AK,,61.133,-146.25,37,19960815,19961009
702755,46404,MCCARTHY AIRPORT,US,AK,PAMX,61.437,-142.904,466.7,20060101,20140901
702755,99999,MCCARTHY,US,AK,PAMX,61.433,-142.933,455,19740421,20051231
702756,26479,VALDEZ PIONEER FIELD AIRPORT,US,AK,PAVD,61.132,-146.244,18.3,20060101,20201030
702756,99999,VALDEZ PIONEER FIEL,US,AK,PAVD,61.133,-146.25,36,19750501,20051231
702757,26444,WHITTIER AIRPORT,US,AK,PAWR,60.783,-148.733,11.9,20060101,20120520
702757,99999,WHITTIER,US,AK,PAWR,60.767,-148.683,9,19750501,20051231
702758,27517,ALPINE AIRSTRIP,US,AK,PALP,70.344,-150.945,5.5,20060101,20201030
702758,99999,DEADHORSE ALPINE AIR,US,AK,PALP,70.333,-150.933,5,20040608,20051231
702770,26438,SEWARD AIRPORT,US,AK,PAWD,60.128,-149.417,6.7,20060101,20201030
